part,company,country,city,price,date
54123-957,Buzzbean,Germany,Düsseldorf,161.02€,2016-01-04 07:01:09
58118-5060,Flipstorm,Greece,Athens,387.3€,2016-01-04 07:23:21
51523-002,Flipstorm,Greece,Athens,1184.21€,2016-01-04 07:32:15
51079-947,Thoughtmix,Portugal,Amadora	,600.24€,2016-01-04 08:46:27
58118-5060,Buzzbean,Germany,Düsseldorf,195.09€,2016-01-04 12:07:11
16590-177,Twitterbeat,France,Annecy,1075.56€,2016-01-04 12:16:34
49288-0655,Flipstorm,Greece,Athens,169.33€,2016-01-04 14:13:33
67046-030,Flipstorm,Greece,Athens,162.2€,2016-01-04 14:48:27
24286-1562,Kanoodle,Japan,Niihama,¥32441.68,2016-01-04 14:48:42
16477-306,Twitterbeat,France,Annecy,996.3€,2016-01-04 15:05:37
0615-7679,Chatterbridge,Spain,Barcelona,385.43€,2016-01-04 15:08:34
49348-574,Flipstorm,Greece,Athens,295.47€,2016-01-04 15:54:50
52380-1102,Flipstorm,France,Nanterre,716.43€,2016-01-04 16:19:30
98132-889,Brainsphere,Portugal,Braga,236.03€,2016-01-04 16:42:33
51346-126,Flipstorm,Greece,Athens,111.55€,2016-01-04 18:09:44
51138-049,Flipstorm,Greece,Athens,528.49€,2016-01-04 19:33:25
58118-5060,Twitterbeat,France,Annecy,145.64€,2016-01-04 20:34:13
21695-267,Ntags,Portugal,Lisbon,361.54€,2016-01-04 21:36:57
51531-9500,Chatterbridge,Spain,Barcelona,995.1€,2016-01-04 22:48:41
50563-113,Gabcube,Portugal,Almada,671.22€,2016-01-04 22:55:51
49288-0655,Gabcube,Portugal,Almada,316.01€,2016-01-05 00:45:50
68084-172,Ntags,Portugal,Lisbon,564.39€,2016-01-05 02:14:55
68180-121,Ntags,Portugal,Lisbon,1028.04€,2016-01-05 02:33:00
13537-468,Zooxo,United Kingdom,London,£449.23,2016-01-05 03:29:13
16714-295,Shufflebeat,Portugal,Porto,895.28€,2016-01-05 04:45:51
37205-992,Buzzbean,Germany,Düsseldorf,481.74€,2016-01-05 05:24:36
61398-0828,Flipstorm,Greece,Athens,279.76€,2016-01-05 06:45:46
37205-951,Flipstorm,France,Nanterre,303.47€,2016-01-05 07:40:58
10267-2529,Roodel,Portugal,Aranhas,460.71€,2016-01-05 09:32:18
62742-4030,Zoonder,United States,Boston,$612.31,2016-01-05 11:24:32
24385-268,Flipstorm,Greece,Athens,223.75€,2016-01-05 11:35:55
54868-5165,Flipstorm,France,Nanterre,-217.88€,2016-01-05 12:21:25
49348-574,Ntags,Portugal,Lisbon,368.4€,2016-01-05 15:43:41
76335-006,Chatterbridge,Spain,Barcelona,395.91€,2016-01-05 16:01:18
51346-145,Flipstorm,Greece,Athens,977.69€,2016-01-05 16:33:49
36987-1697,Chatterbridge,Spain,Barcelona,822.97€,2016-01-05 17:11:29
68233-011,Voomm,France,Paris,549.77€,2016-01-05 19:17:42
65044-3014,Thoughtmix,Portugal,Amadora	,924.25€,2016-01-05 19:28:34
10267-2529,Brainsphere,Portugal,Braga,528.52€,2016-01-05 19:35:12
50563-113,Twitterbeat,France,Annecy,516.92€,2016-01-05 20:00:10
50563-113,Flipstorm,France,Nanterre,648.25€,2016-01-05 22:10:24
68084-172,Twitterbeat,France,Annecy,629.02€,2016-01-05 23:17:05
17156-617,Zooxo,United Kingdom,London,£1100.73,2016-01-06 00:55:19
49288-0285,Avaveo,France,Nice,687.63€,2016-01-06 01:04:10
35356-325,Buzzbean,Germany,Düsseldorf,411.16€,2016-01-06 02:31:00
49349-820,Chatterbridge,Spain,Barcelona,522.49€,2016-01-06 02:37:26
36987-1697,Ntags,Portugal,Lisbon,977.41€,2016-01-06 03:12:04
41163-428,Ntags,Portugal,Lisbon,152.56€,2016-01-06 03:53:24
68084-595,Voomm,France,Paris,169.07€,2016-01-06 04:00:59
50563-113,Riffpath,Greece,Heraklion,489.98€,2016-01-06 04:05:10
0228-2167,Brainsphere,Portugal,Braga,946.63€,2016-01-06 04:41:37
0228-2167,Zooxo,United Kingdom,London,£932.22,2016-01-06 05:59:08
10237-832,Flipstorm,Greece,Athens,1067.82€,2016-01-06 06:55:33
0268-6107,Gabcube,Portugal,Almada,479.94€,2016-01-06 07:03:07
68084-172,Wordify,United States,New York,$452.85,2016-01-06 07:11:02
49349-820,Flipstorm,Greece,Athens,390.52€,2016-01-06 07:26:37
49349-471,Flipstorm,France,Nanterre,1036.79€,2016-01-06 08:11:41
62756-707,Shufflebeat,Portugal,Porto,313.73€,2016-01-06 08:28:22
51138-049,Flipstorm,France,Nanterre,852.71€,2016-01-06 08:42:14
24286-1562,Flipstorm,Greece,Athens,387.76€,2016-01-06 09:07:51
49035-530,Buzzbean,Germany,Düsseldorf,844.48€,2016-01-06 09:16:16
58668-4281,Ntags,Portugal,Lisbon,915.44€,2016-01-06 09:54:27
68462-565,Thoughtmix,Portugal,Amadora	,1046.53€,2016-01-06 10:45:18
43419-018,Flipstorm,Greece,Athens,251.79€,2016-01-06 11:49:16
10578-049,Twitterbeat,France,Annecy,675.32€,2016-01-06 12:04:39
17156-617,Wordify,United States,New York,$1135.89,2016-01-06 12:36:31
49967-724,Flipstorm,Greece,Athens,539.33€,2016-01-06 15:15:02
55700-014,Thoughtmix,Portugal,Amadora	,589.44€,2016-01-06 15:39:25
36800-952,Wordify,United States,New York,$220.03,2016-01-06 16:18:55
13537-259,Buzzbean,Germany,Düsseldorf,978.12€,2016-01-06 16:45:25
0603-6134,Flipstorm,France,Nanterre,812.99€,2016-01-06 17:36:36
52343-025,Flipstorm,France,Nanterre,685.99€,2016-01-06 17:55:34
51346-145,Roodel,Portugal,Aranhas,1028.69€,2016-01-06 18:57:33
68180-121,Thoughtmix,Portugal,Amadora	,1062.97€,2016-01-06 19:24:37
98132-889,Flipstorm,France,Nanterre,303.01€,2016-01-06 19:54:02
0268-1604,Teklist,Netherlands,Arnhem,138.48€,2016-01-06 20:11:13
49349-106,Eimbee,France,Amiens,789.66€,2016-01-06 21:02:40
13537-259,Voomm,France,Paris,690.9€,2016-01-06 21:52:11
51346-126,Wordify,United States,New York,$106.79,2016-01-06 21:54:55
61398-0828,Flipstorm,Greece,Athens,455.39€,2016-01-06 22:52:04
24286-1562,Flipstorm,Greece,Athens,379.92€,2016-01-06 22:57:09
10578-049,Thoughtmix,Portugal,Amadora	,370.82€,2016-01-06 23:42:01
36800-952,Yozio,Greece,Patras,386.76€,2016-01-07 01:49:15
0699-7041,Flipstorm,Greece,Athens,696.46€,2016-01-07 05:50:47
0268-1604,Flipstorm,Greece,Athens,150.58€,2016-01-07 06:32:31
63629-2733,Brainsphere,Portugal,Braga,255.41€,2016-01-07 08:29:28
55289-164,Thoughtmix,Portugal,Amadora	,-95.08€,2016-01-07 08:45:08
62011-0219,Brainsphere,Portugal,Braga,925.83€,2016-01-07 08:55:32
60505-2867,Ntags,Portugal,Lisbon,230.49€,2016-01-07 12:52:30
24286-1562,Thoughtmix,Portugal,Amadora	,265.42€,2016-01-07 14:46:01
51346-145,Flipstorm,Greece,Athens,945.54€,2016-01-07 14:46:34
44946-1046,Flipstorm,Greece,Athens,426.31€,2016-01-07 16:33:00
68752-024,Flipstorm,Greece,Athens,914.21€,2016-01-07 17:10:10
49348-574,Ntags,Portugal,Lisbon,299.84€,2016-01-07 17:49:00
41163-428,Twitterbeat,France,Annecy,117.13€,2016-01-07 18:45:15
62011-0219,Flipstorm,Greece,Athens,863.13€,2016-01-07 19:26:14
62011-0219,Yozio,Greece,Patras,914.44€,2016-01-07 19:47:59
55154-5057,Shufflebeat,Portugal,Porto,543.4€,2016-01-07 19:50:44
10578-049,Flipstorm,France,Nanterre,688.77€,2016-01-07 20:43:23
49999-737,Flipstorm,Greece,Athens,841.34€,2016-01-07 22:07:31
49349-471,Yozio,Greece,Patras,827.58€,2016-01-08 03:22:32
0699-7041,Riffpath,Greece,Heraklion,954.29€,2016-01-08 06:21:54
68462-565,Wordify,United States,New York,$809.68,2016-01-08 06:24:52
51138-049,Thoughtmix,Portugal,Amadora	,373.07€,2016-01-08 06:36:35
61398-0828,Innojam,Netherlands,Amsterdam,311.23€,2016-01-08 08:22:03
62670-4404,Twitterbeat,France,Annecy,467.69€,2016-01-08 08:39:06
49349-314,Voomm,France,Paris,503.06€,2016-01-08 09:17:14
58118-5060,Voomm,France,Paris,116.7€,2016-01-08 09:40:58
55856-0003,Zooxo,United Kingdom,London,£433.11,2016-01-08 12:21:39
24385-268,Brainsphere,Portugal,Braga,200.13€,2016-01-08 14:06:06
44946-1046,Wordify,United States,New York,$466.99,2016-01-08 15:39:35
21695-267,Yozio,Greece,Patras,459.66€,2016-01-08 15:51:29
0268-1128,Flipstorm,France,Nanterre,608.86€,2016-01-08 17:09:06
44946-1046,Thoughtmix,Portugal,Amadora	,414.05€,2016-01-08 17:57:42
54868-6311,Ntags,Portugal,Lisbon,433.33€,2016-01-08 21:37:42
52959-433,Brainsphere,Portugal,Braga,328.54€,2016-01-08 22:16:38
10267-2529,Roodel,Portugal,Aranhas,458.13€,2016-01-08 23:29:20
0615-7679,Flipstorm,Greece,Athens,289.36€,2016-01-09 01:23:57
51138-049,Thoughtmix,Portugal,Amadora	,1176.1€,2016-01-09 01:36:57
61398-0828,Yozio,Greece,Patras,265.77€,2016-01-09 02:59:10
65044-3014,Chatterbridge,Spain,Barcelona,706.25€,2016-01-09 03:19:58
49348-574,Twitterbeat,France,Annecy,290.66€,2016-01-09 03:22:45
0268-6107,Chatterbridge,Spain,Barcelona,487.23€,2016-01-09 03:25:39
52380-1102,Flipstorm,Greece,Athens,739.67€,2016-01-09 04:36:12
49348-574,Roodel,Portugal,Aranhas,298.88€,2016-01-09 04:56:00
13537-259,Brainsphere,Portugal,Braga,892.36€,2016-01-09 05:51:27
0268-1604,Flipstorm,Greece,Athens,127.55€,2016-01-09 05:57:23
51346-145,Thoughtmix,Portugal,Amadora	,1002.34€,2016-01-09 06:00:25
0228-2167,Yozio,Greece,Patras,1519.48€,2016-01-09 07:00:30
58118-5060,Flipstorm,Greece,Athens,233.92€,2016-01-09 07:26:12
49349-314,Zooxo,United Kingdom,London,£460.72,2016-01-09 07:40:09
55154-5057,Flipstorm,Greece,Athens,775.36€,2016-01-09 09:30:18
54973-9150,Zoonder,United States,Boston,$899.15,2016-01-09 10:08:15
55154-5057,Chatterbridge,Spain,Barcelona,665.23€,2016-01-09 13:29:46
51079-947,Chatterbridge,Spain,Barcelona,763.51€,2016-01-09 14:55:27
36987-1697,Flipstorm,Greece,Athens,502.47€,2016-01-09 17:12:20
49349-471,Shufflebeat,Portugal,Porto,716.2€,2016-01-09 18:05:19
16590-177,Brainsphere,Portugal,Braga,221.24€,2016-01-09 18:45:25
13537-259,Teklist,Netherlands,Arnhem,732.79€,2016-01-09 21:05:12
16590-177,Gabcube,Portugal,Almada,1681.96€,2016-01-09 21:11:34
51138-049,Wordify,United States,New York,$989.63,2016-01-09 22:27:00
55700-014,Ntags,Portugal,Lisbon,678.09€,2016-01-09 22:36:39
52125-444,Flipstorm,Greece,Athens,269.88€,2016-01-09 22:48:02
76314-002,Flipstorm,France,Nanterre,457.59€,2016-01-10 02:34:49
36987-1697,Buzzbean,Germany,Düsseldorf,1159.46€,2016-01-10 03:18:22
36987-1697,Zooxo,United Kingdom,London,£762.34,2016-01-10 04:02:46
44946-1046,Chatterbridge,Spain,Barcelona,421.38€,2016-01-10 04:05:01
24286-1562,Buzzbean,Germany,Düsseldorf,333.67€,2016-01-10 04:07:03
67046-030,Shufflebeat,Portugal,Porto,170.42€,2016-01-10 06:14:59
49967-724,Flipstorm,Greece,Athens,549.22€,2016-01-10 06:55:23
62011-0219,Flipstorm,Greece,Athens,785.47€,2016-01-10 08:25:26
49738-105,Eimbee,France,Amiens,528.5€,2016-01-10 08:54:43
76335-006,Ntags,Portugal,Lisbon,322.23€,2016-01-10 09:34:08
10578-049,Roodel,Portugal,Aranhas,1053.2€,2016-01-10 10:44:58
37205-992,Zooxo,United Kingdom,London,£154.52,2016-01-10 15:09:00
16477-306,Shufflebeat,Portugal,Porto,988.78€,2016-01-10 15:33:47
50563-113,Flipstorm,Greece,Athens,831.99€,2016-01-10 17:03:57
54092-515,Gabcube,Portugal,Almada,772.98€,2016-01-10 19:02:40
55700-014,Twitterbeat,France,Annecy,647.59€,2016-01-10 19:09:23
58596-001,Thoughtmix,Portugal,Amadora	,472.26€,2016-01-10 19:22:30
42254-213,Thoughtmix,Portugal,Amadora	,203.13€,2016-01-10 19:53:29
16714-295,Twitterbeat,France,Annecy,647.37€,2016-01-10 20:40:34
54473-578,Thoughtmix,Portugal,Amadora	,187.87€,2016-01-10 22:04:24
68180-121,Flipstorm,France,Nanterre,1403.31€,2016-01-10 22:40:46
36800-952,Brainsphere,Portugal,Braga,323.01€,2016-01-10 23:18:51
55289-164,Voomm,France,Paris,408.08€,2016-01-11 00:16:57
54473-578,Chatterbridge,Spain,Barcelona,233.75€,2016-01-11 00:46:23
62011-0219,Thoughtmix,Portugal,Amadora	,879.81€,2016-01-11 03:54:55
35356-325,Yozio,Greece,Patras,682.84€,2016-01-11 08:02:54
68752-024,Voomm,France,Paris,724.32€,2016-01-11 08:31:18
43419-018,Flipstorm,Greece,Athens,299.1€,2016-01-11 08:31:34
24286-1562,Ntags,Portugal,Lisbon,184.01€,2016-01-11 10:33:25
37205-992,Flipstorm,Greece,Athens,659.42€,2016-01-11 10:37:02
65044-3014,Flipstorm,Greece,Athens,854.65€,2016-01-11 11:28:13
16477-306,Teklist,Netherlands,Arnhem,1140.08€,2016-01-11 11:56:24
52125-136,Ntags,Portugal,Lisbon,489.06€,2016-01-11 12:54:18
35356-325,Brainsphere,Portugal,Braga,834.24€,2016-01-11 14:25:59
49035-530,Buzzbean,Germany,Düsseldorf,799.44€,2016-01-11 15:37:13
50563-113,Buzzbean,Germany,Düsseldorf,450.61€,2016-01-11 16:32:14
0268-1128,Thoughtmix,Portugal,Amadora	,1129.01€,2016-01-11 16:47:05
13537-468,Flipstorm,Greece,Athens,325.28€,2016-01-11 18:38:04
98132-889,Thoughtmix,Portugal,Amadora	,183.84€,2016-01-11 21:51:38
55700-014,Zooxo,United Kingdom,London,£660.13,2016-01-11 23:06:51
68180-121,Thoughtmix,Portugal,Amadora	,396.68€,2016-01-11 23:18:17
0228-2167,Brainsphere,Portugal,Braga,731.79€,2016-01-11 23:59:42
58596-001,Shufflebeat,Portugal,Porto,475.5€,2016-01-12 00:36:02
41163-428,Yozio,Greece,Patras,150.29€,2016-01-12 01:23:21
16477-306,Voomm,France,Paris,896.04€,2016-01-12 01:54:39
16729-167,Brainsphere,Portugal,Braga,52.7€,2016-01-12 03:55:10
52959-433,Shufflebeat,Portugal,Porto,327.38€,2016-01-12 05:27:20
49349-106,Shufflebeat,Portugal,Porto,517.12€,2016-01-12 05:44:35
51346-126,Ntags,Portugal,Lisbon,91.36€,2016-01-12 05:57:06
49967-724,Chatterbridge,Spain,Barcelona,470.3€,2016-01-12 06:47:09
0228-2167,Flipstorm,France,Nanterre,233.52€,2016-01-12 07:15:22
13537-259,Flipstorm,France,Nanterre,774.18€,2016-01-12 08:42:40
55700-014,Twitterbeat,France,Annecy,644.97€,2016-01-12 08:52:50
0268-6107,Yozio,Greece,Patras,489.03€,2016-01-12 10:32:19
55566-2100,Brainsphere,Portugal,Braga,314.74€,2016-01-12 10:52:59
0268-1401,Twitterbeat,France,Annecy,1063.5€,2016-01-12 11:14:33
49967-724,Flipstorm,Greece,Athens,470.3€,2016-01-12 12:22:25
13537-259,Buzzbean,Germany,Düsseldorf,735.84€,2016-01-12 12:35:18
55566-2100,Twitterbeat,France,Annecy,859.2€,2016-01-12 13:38:30
49967-724,Eimbee,France,Amiens,525.63€,2016-01-12 14:57:40
55856-0003,Brainsphere,Portugal,Braga,225.88€,2016-01-12 16:01:36
49349-820,Chatterbridge,Spain,Barcelona,381.83€,2016-01-12 16:15:47
49520-501,Shufflebeat,Portugal,Porto,791.05€,2016-01-12 16:36:45
16714-295,Flipstorm,France,Nanterre,640.84€,2016-01-12 16:46:23
10237-832,Flipstorm,France,Nanterre,696.86€,2016-01-12 19:02:33
68084-172,Zoonder,United States,Boston,$424.2,2016-01-12 19:20:50
49349-842,Thoughtmix,Portugal,Amadora	,469.81€,2016-01-12 20:35:05
51346-145,Voomm,France,Paris,936.74€,2016-01-12 21:29:55
55700-014,Rhycero,France,Arcueil,635.89€,2016-01-12 22:29:15
0603-6134,Wordify,United States,New York,$871.96,2016-01-12 23:35:08
68233-011,Twitterbeat,France,Annecy,760.79€,2016-01-13 00:13:59
51138-049,Flipstorm,Greece,Athens,809.66€,2016-01-13 02:21:15
16590-177,Twitterbeat,France,Annecy,1120.13€,2016-01-13 03:21:17
0228-2167,Buzzbean,Germany,Düsseldorf,863.39€,2016-01-13 03:32:13
55289-164,Gabcube,Portugal,Almada,453.29€,2016-01-13 03:33:43
68084-595,Twitterbeat,France,Annecy,271.61€,2016-01-13 03:54:09
51079-947,Flipstorm,Greece,Athens,581.7€,2016-01-13 04:42:31
70253-307,Yozio,Greece,Patras,877.89€,2016-01-13 05:33:50
0268-1128,Zooxo,United Kingdom,London,£669.78,2016-01-13 05:44:02
54123-957,Voomm,France,Paris,61.08€,2016-01-13 07:22:31
10267-2529,Zoonder,United States,Boston,$623.65,2016-01-13 07:29:56
24385-268,Gabcube,Portugal,Almada,273.87€,2016-01-13 09:10:50
49348-574,Zooxo,United Kingdom,London,£240.55,2016-01-13 10:10:00
54473-578,Flipstorm,Greece,Athens,172.81€,2016-01-13 12:35:36
68233-011,Thoughtmix,Portugal,Amadora	,648.28€,2016-01-13 13:17:14
68462-565,Chatterbridge,Spain,Barcelona,1098.42€,2016-01-13 15:03:29
41163-428,Teklist,Netherlands,Arnhem,88.12€,2016-01-13 17:46:00
41163-428,Flipstorm,France,Nanterre,134.81€,2016-01-13 18:27:03
49967-724,Eimbee,France,Amiens,543.07€,2016-01-13 18:40:05
0268-1128,Roodel,Portugal,Aranhas,921.82€,2016-01-13 19:29:47
10267-2529,Flipstorm,France,Nanterre,376.25€,2016-01-13 19:37:29
21695-931,Zoonder,United States,Boston,$250.97,2016-01-13 21:24:10
62011-0219,Gabcube,Portugal,Almada,791.31€,2016-01-13 23:13:43
16714-295,Thoughtmix,Portugal,Amadora	,625.05€,2016-01-13 23:15:44
55856-0003,Zooxo,United Kingdom,London,£53.4,2016-01-14 00:35:33
65044-3014,Chatterbridge,Spain,Barcelona,798.02€,2016-01-14 03:06:01
0699-7041,Flipstorm,Greece,Athens,739.91€,2016-01-14 03:18:31
0615-7679,Buzzbean,Germany,Düsseldorf,313.29€,2016-01-14 03:24:25
58118-5060,Voomm,France,Paris,193.44€,2016-01-14 04:01:56
98132-889,Buzzbean,Germany,Düsseldorf,214.08€,2016-01-14 04:55:42
54868-6311,Ntags,Portugal,Lisbon,203.26€,2016-01-14 05:30:36
0699-7041,Thoughtmix,Portugal,Amadora	,520.33€,2016-01-14 06:10:26
21695-931,Ntags,Portugal,Lisbon,677.96€,2016-01-14 07:22:00
68462-565,Twitterbeat,France,Annecy,1160.96€,2016-01-14 08:44:30
24286-1562,Chatterbridge,Spain,Barcelona,425.64€,2016-01-14 08:55:40
49035-530,Ntags,Portugal,Lisbon,1009.82€,2016-01-14 09:00:12
35356-325,Shufflebeat,Portugal,Porto,465.01€,2016-01-14 11:19:40
52959-433,Brainsphere,Portugal,Braga,354.97€,2016-01-14 16:49:35
58118-5060,Twitterbeat,France,Annecy,77.54€,2016-01-14 19:53:37
49035-530,Twitterbeat,France,Annecy,974.46€,2016-01-14 21:29:03
13537-259,Voomm,France,Paris,751.6€,2016-01-14 21:32:15
49348-574,Twitterbeat,France,Annecy,399.91€,2016-01-14 21:40:16
55700-014,Teklist,Netherlands,Arnhem,599.69€,2016-01-15 00:05:10
55289-164,Twitterbeat,France,Annecy,130.35€,2016-01-15 00:41:51
61398-0828,Voomm,France,Paris,513.76€,2016-01-15 00:59:28
0185-0373,Brainsphere,Portugal,Braga,974.08€,2016-01-15 02:28:32
76335-006,Twitterbeat,France,Annecy,421.8€,2016-01-15 10:11:06
62011-0219,Zooxo,United Kingdom,London,£838.5,2016-01-15 10:18:27
49348-574,Flipstorm,Greece,Athens,275.21€,2016-01-15 10:56:49
10578-049,Chatterbridge,Spain,Barcelona,805.22€,2016-01-15 12:21:14
37205-951,Twitterbeat,France,Annecy,288.37€,2016-01-15 12:31:21
0268-1401,Brainsphere,Portugal,Braga,983.49€,2016-01-15 12:49:26
68752-024,Twitterbeat,France,Annecy,871.29€,2016-01-15 13:24:19
50458-560,Shufflebeat,Portugal,Porto,1136.34€,2016-01-15 14:20:18
0268-1128,Thoughtmix,Portugal,Amadora	,1075.93€,2016-01-15 15:03:47
68084-172,Flipstorm,Greece,Athens,-158.02€,2016-01-15 15:31:31
55154-5057,Shufflebeat,Portugal,Porto,1406.66€,2016-01-15 16:08:16
52380-1102,Flipstorm,France,Nanterre,261.23€,2016-01-15 16:43:46
13537-259,Chatterbridge,Spain,Barcelona,791.84€,2016-01-15 19:03:44
51079-947,Zooxo,United Kingdom,London,£643.54,2016-01-15 20:44:02
52343-025,Eimbee,France,Amiens,953.97€,2016-01-15 21:14:48
35356-325,Zooxo,United Kingdom,London,£79.29,2016-01-15 22:14:01
54473-578,Wordify,United States,New York,$158.51,2016-01-16 00:06:46
62742-4030,Flipstorm,France,Nanterre,545.16€,2016-01-16 00:29:53
37205-951,Flipstorm,France,Nanterre,213.91€,2016-01-16 00:55:36
16729-167,Flipstorm,France,Nanterre,256.98€,2016-01-16 02:43:15
0268-1128,Thoughtmix,Portugal,Amadora	,582.42€,2016-01-16 03:40:32
50458-560,Ntags,Portugal,Lisbon,348.58€,2016-01-16 04:18:27
13537-259,Flipstorm,France,Nanterre,725.69€,2016-01-16 04:21:55
10267-2529,Thoughtmix,Portugal,Amadora	,396.79€,2016-01-16 04:52:15
63629-2733,Shufflebeat,Portugal,Porto,292.21€,2016-01-16 05:34:02
67046-030,Flipstorm,France,Nanterre,157.92€,2016-01-16 06:14:48
65044-3014,Chatterbridge,Spain,Barcelona,749.79€,2016-01-16 07:18:55
16729-167,Twitterbeat,France,Annecy,142.96€,2016-01-16 09:30:01
54868-0823,Twitterbeat,France,Annecy,160.75€,2016-01-16 12:34:39
16729-167,Flipstorm,Greece,Athens,807.27€,2016-01-16 15:08:45
48951-4042,Twitterbeat,France,Annecy,269.26€,2016-01-16 16:44:01
68233-011,Twitterbeat,France,Annecy,481.5€,2016-01-16 18:18:05
55700-014,Thoughtmix,Portugal,Amadora	,663.85€,2016-01-16 19:16:41
16714-295,Twitterbeat,France,Annecy,570.36€,2016-01-16 20:40:34
58596-001,Chatterbridge,Spain,Barcelona,456.62€,2016-01-17 00:52:43
13537-259,Flipstorm,France,Nanterre,674.07€,2016-01-17 02:57:50
44946-1046,Flipstorm,Greece,Athens,428.7€,2016-01-17 04:00:36
55289-164,Brainsphere,Portugal,Braga,699.46€,2016-01-17 04:46:42
0228-2167,Zooxo,United Kingdom,London,£100.06,2016-01-17 05:12:32
0228-2167,Thoughtmix,Portugal,Amadora	,673.89€,2016-01-17 05:19:18
55856-0003,Eimbee,France,Amiens,478.54€,2016-01-17 05:48:33
51346-145,Brainsphere,Portugal,Braga,1069.58€,2016-01-17 05:57:19
54868-5165,Flipstorm,Greece,Athens,814.56€,2016-01-17 06:30:40
52343-025,Flipstorm,France,Nanterre,546.71€,2016-01-17 06:30:45
49738-105,Voomm,France,Paris,584.96€,2016-01-17 07:32:02
70253-307,Ntags,Portugal,Lisbon,950.62€,2016-01-17 08:06:09
24286-1562,Buzzbean,Germany,Düsseldorf,362.01€,2016-01-17 09:50:06
76335-006,Thoughtmix,Portugal,Amadora	,329.16€,2016-01-17 10:31:23
43419-018,Buzzbean,Germany,Düsseldorf,271.48€,2016-01-17 12:11:00
